id;name;description;capacity;plan_capacity;device_id;product_id
1;Money Market Account;Right-sized;44049;89594;Executive lavender;1
2;Tuvalu JSON;Overpass Small;52139;57431;Sports;2
3;olive Libyan Dinar Implementation;reintermediate generating multi-byte;39925;91304;synergize;3
4;Expressway Nakfa;Operative Florida;79476;3428;GB overriding;4
5;hack Points;interface Outdoors;79142;7650;AGP;5
6;Small Granite Table Center sexy;deposit;33862;81736;black Corporate;6
7;Ergonomic Reactive;New Zealand Dollar application;64063;37106;Agent;7
8;silver;deploy turn-key Investor;68736;85693;AGP;8
9;transmit auxiliary;Garden incubate Rustic;45972;72842;Buckinghamshire;9
10;generate rich methodology;forecast;84774;53895;e-business neural bi-directional;10
