id;result_time;jhi_type;jhi_value;factory_id
1;2020-03-19T09:22:49;Handcrafted Frozen Computer Small Steel Keyboard;service-desk Borders Latvian Lats;1
2;2020-03-19T14:19:22;circuit cyan;impactful modular;2
3;2020-03-19T14:19:02;mission-critical;visualize Chair;3
4;2020-03-19T20:47:35;Cocos (Keeling) Islands withdrawal Rubber;mobile;4
5;2020-03-19T18:21:42;Executive mesh hacking;programming;5
6;2020-03-19T21:00:40;Decentralized ability;Investment Account;6
7;2020-03-19T12:58:02;copy Checking Account;invoice SMTP;7
8;2020-03-19T12:49:38;empowering;Bond Markets Units European Composite Unit (EURCO) invoice;8
9;2020-03-19T13:08:12;deposit GB;Gibraltar Berkshire;9
10;2020-03-20T02:07:25;overriding Practical Wooden Bike Division;Human whiteboard;10
