id;logistics_id;express_company;express_number;status;start_position;end_position;current_position
1;multi-byte Forint visionary;supply-chains Wyoming Malta;Tools Uzbekistan;Rhode Island Salad payment;Sausages impactful hardware;Fantastic Soft Gloves Fresh Frozen;Outdoors
2;zero administration back up;circuit Kroon Credit Card Account;Monitored;e-markets Vanuatu;withdrawal Cotton Idaho;Frozen Unbranded;benchmark turquoise
3;transmit Mayotte;Denar hierarchy Grocery;Human bottom-line Generic;Generic Buckinghamshire Investment Account;Avon Consultant Investment Account;sensor efficient;Future firewall withdrawal
4;USB Implemented;monitor Devolved Metrics;Assurance Berkshire Digitized;multimedia Consultant;background;Avon invoice Hat;reboot extend
5;Plastic;extranet;Operations back-end 24/7;Meadow;HTTP;Ghana Singapore Dollar;District online
6;intermediate;fresh-thinking firewall;tan New York;Jordan;Berkshire;experiences;Metrics compressing Arkansas
7;backing up;Fish;hardware Dong Configuration;Producer Uruguay e-markets;Generic Steel Shoes Sleek Plastic Computer;dynamic;Cambridgeshire Checking Account Concrete
8;deposit generate;indexing withdrawal;invoice local area network Intelligent Metal Pizza;Investor virtual olive;Horizontal;dynamic;Credit Card Account bypass aggregate
9;New Hampshire Incredible;Plastic engineer;Auto Loan Account deposit Virtual;Syrian Arab Republic Refined Steel Car Knoll;Cambridgeshire Hawaii;Shoes;North Carolina Rapid
10;Frozen;Toys;scalable monetize;process improvement Computer;Bedfordshire Unbranded Metal Mouse seamless;payment;parse Denar
