id;phenomenon_time;result;result_time;property;unit;assemblyline_id
1;2020-03-20T01:44:24;parallelism Automotive;2020-03-19T18:29:59;XML Oklahoma multi-byte;Auto Loan Account;1
2;2020-03-19T22:48:24;Small Frozen Shirt Uganda artificial intelligence;2020-03-19T17:09:15;Expressway Manors Shoes;Personal Loan Account;2
3;2020-03-19T21:33:13;Intranet Multi-channelled proactive;2020-03-19T06:12:46;Personal Loan Account;dot-com demand-driven mobile;3
4;2020-03-19T07:30:49;Peru;2020-03-19T18:23:00;Borders infrastructure revolutionary;local magenta EXE;4
5;2020-03-19T10:20:48;Handmade;2020-03-19T17:03:36;Chicken;support New York;5
6;2020-03-19T19:16:28;Money Market Account input;2020-03-19T17:52:11;invoice Dynamic Tunnel;Wyoming;6
7;2020-03-19T21:59:42;Awesome Steel;2020-03-19T15:55:56;deposit Illinois Cotton;Hawaii firewall Steel;7
8;2020-03-19T23:35:28;bandwidth;2020-03-19T08:13:35;Dynamic back up;executive Home Loan Account;8
9;2020-03-19T06:49:06;Kuwait;2020-03-19T06:43:26;Awesome Plastic Keyboard Cotton;multi-byte;9
10;2020-03-19T18:32:12;global South Carolina invoice;2020-03-19T05:27:03;portals bypass;open-source supply-chains;10
